0.4000 9.0000 8.9035
0.8000 8.9035 8.7977
1.2000 8.7977 8.6817
1.6000 8.6817 8.5546
2.0000 8.5546 8.4151
2.4000 8.4151 8.2622
2.8000 8.2622 8.0945
3.2000 8.0945 7.9107
3.6000 7.9107 7.7091
4.0000 7.7091 7.4881
4.4000 7.4881 7.2458
4.8000 7.2458 6.9800
5.2000 6.9800 6.6887
5.6000 6.6887 6.3692
6.0000 6.3692 6.0189
6.4000 6.0189 5.6348
6.8000 5.6348 5.2137
7.2000 5.2137 4.7519
7.6000 4.7519 4.2456
8.0000 4.2456 3.6904
8.4000 3.6904 3.0817
8.8000 3.0817 2.4142
9.2000 2.4142 1.6824
9.6000 1.6824 0.8799
10.0000 0.8799 -0.0000
