0.4000 0.0000 0.8799
0.8000 0.8799 1.6824
1.2000 1.6824 2.4142
1.6000 2.4142 3.0817
2.0000 3.0817 3.6904
2.4000 3.6904 4.2456
2.8000 4.2456 4.7519
3.2000 4.7519 5.2137
3.6000 5.2137 5.6348
4.0000 5.6348 6.0189
4.4000 6.0189 6.3692
4.8000 6.3692 6.6887
5.2000 6.6887 6.9800
5.6000 6.9800 7.2458
6.0000 7.2458 7.4881
6.4000 7.4881 7.7091
6.8000 7.7091 7.9107
7.2000 7.9107 8.0945
7.6000 8.0945 8.2622
8.0000 8.2622 8.4151
8.4000 8.4151 8.5546
8.8000 8.5546 8.6817
9.2000 8.6817 8.7977
9.6000 8.7977 8.9035
10.0000 8.9035 9.0000
